;latitude;longtitude;;r_wet;p_wet;;;r_dry;p_dry;;
43;14.591;-61.003;;0.646090792;0.181181818;1;0.000240551;0.473606285;0.316997698;1;0.000271249
44;44.3081;3.1767;;0.799126731;0.348007099;1;0.038775011;0.626758797;0.166528736;0;0.990789566
45;50.562;3.089;;0.816811939;0.306932314;0;0.578962743;0.477625859;0.187187081;1;0.006068667
46;46.265;0.01;;0.665368968;0.2605698;0;0.380119388;0.597211956;0.160165541;0;0.581278467
47;47.269;5.09;;0.897226392;0.347630121;1;8.3074E-05;0.579235505;0.192475361;0;0.569010067
48;45.081;3.763;;1.029514725;0.444036707;0;0.135755188;0.591745803;0.180187626;1;0.048631891
49;43.179;-0.006;;0.874032676;0.355259007;0;0.702815488;0.573075746;0.201083901;0;0.765459811
50;-23.133;-134.967;;0.736592129;0.324399224;0;0.893218516;0.306454522;0.133930288;0;
51;43.4417;5.2267;;1.123391494;0.58230739;0;0.282053242;0.663335346;0.108103647;1;0.033006351
52;3.633;-54.033;;0.59708572;0.185545271;0;0.611107606;0.238929012;0.254731175;0;0.133883421
53;43.305;5.3967;;0.982314649;0.538498584;1;0.014741159;0.679046073;0.106834088;0;0.504287832
54;49.45;5.4167;;0.77339282;0.287373693;0;0.141152982;0.636198073;0.205858915;0;0.291546635
55;43.576;3.963;;0.85468535;0.515737317;0;0.511105893;0.625396655;0.114725531;0;0.240333931
56;44.8317;0.675;;0.771692603;0.27132156;0;0.20139763;0.610892798;0.189963028;0;0.493709635
57;44.117;3.017;;0.81293891;0.356734873;1;6.70687E-05;0.655437189;0.17619713;0;0.067152783
58;44.1167;3.5831;;0.913681977;0.340852438;0;0.187986594;0.675582575;0.195957558;0;0.660187648
59;43.912;-0.508;;0.702184475;0.294567272;0;0.538190041;0.530835424;0.1839085;0;0.666682465
60;49.7;4.0167;;0.734666195;0.290225212;0;0.06450234;0.532728082;0.158355057;0;0.349050322
61;44.5817;4.7381;;0.947003821;0.461020545;0;0.051000398;0.618348537;0.139789654;0;0.081938897
62;46.4167;0.86;;0.667895548;0.282414088;1;0.000265085;0.603518293;0.171808506;0;0.277354374
63;47.153;-1.611;;0.737504746;0.268306882;0;0.452306762;0.4562032;0.155776813;0;0.081619668
64;-22.26667;166.43333;;0.713249095;0.378993532;0;0.095032925;0.375116445;0.099957057;0;
65;48.583;5.955;;0.745125634;0.29409394;0;0.591776472;0.419156909;0.191397748;0;
66;47.9;6.9667;;0.748362706;0.242407562;1;0.000610784;0.658013567;0.201354689;0;0.076701027
67;47.93333;1.88333;;0.578977309;0.191497368;0;;1.062916404;0.372640618;0;
68;48.725;2.359;;0.823538043;0.333203008;0;0.682797106;0.51850037;0.17236778;0;0.51630933
69;43.1167;1.6175;;0.776269304;0.40519644;0;0.273997614;0.711562928;0.178480229;0;0.622548142
70;48.8231;2.3367;;0.828455066;0.327935614;0;0.73731324;0.507129143;0.156597891;0;
71;42.7381;2.8731;;1.002302366;0.57329455;1;0.007236815;0.778991211;0.145897686;0;0.653282597
72;48.81667;7.2;;0.98074517;0.380627555;0;0.162326732;0.427887993;0.140158431;0;0.131384403
73;47.3;-3.167;;0.625493049;0.269641521;0;0.104498434;0.528632061;0.142948067;0;0.595345509
74;42.553;9.484;;0.719106042;0.425927485;0;0.454975661;0.461694493;0.106256998;1;5.16867E-06
75;49.7267;-1.94;;0.443703684;0.192472536;0;;0.390742458;0.154936754;0;0.180490308
76;49.217;4.15;;0.859558071;0.329906491;0;0.652101941;0.442332989;0.207767419;0;0.08988258
77;48.0667;-1.7331;;0.720714458;0.265178681;0;0.179874368;0.500944028;0.168895857;1;0.016459583
78;4.833;-52.367;;0.462519303;0.113272394;1;0.000186225;0.381176978;0.225127421;1;1.08764E-08
79;45.726;5.091;;0.993220837;0.414923514;0;0.308397335;0.596431699;0.178642391;0;0.245404631
80;45.6131;1.485;;0.751130767;0.2764211;1;0.000734935;0.671015318;0.18964363;0;0.224582417
81;5.5;-54.033;;0.560961665;0.183391597;1;0.002584147;0.224293141;0.229161858;1;0.006235853
82;46.763;-56.176;;0.904951479;0.346631579;0;;0.775930019;0.432526474;0;0.3761134
83;48.55;7.6331;;0.936561595;0.356908884;1;0.019753134;0.593575938;0.208492282;0;0.884465042
84;48.76667;5.98333;;0.825610783;0.337923968;0;0.717214077;0.583292864;0.188837874;0;0.109787122
85;14.767;-60.883;;0.88003646;0.38739061;0;0.206003198;0.695585826;0.306988906;0;0.731859655
86;-23.35;-149.483;;0.819458254;0.358928022;0;0.52150768;0.293748093;0.121988556;0;
87;47.432;0.728;;0.760759607;0.305828076;0;0.757824768;0.458313812;0.154315934;0;0.791934467
88;49.384;1.175;;0.694577181;0.24345388;0;0.590574372;0.473261119;0.19465328;0;0.887303198
89;49.11667;5.46667;;0.330052989;0.094125416;0;;0.775665186;0.324984452;0;
90;49.4031;4.7031;;0.775111731;0.274077966;0;0.239847904;0.55908615;0.182023552;0;0.48883365
